cat_id,mode,family,source_file,crop_box,R,G,B,H,S,V
000221,R,opal,opal_R_000221.tiff,270 270 330 330,115,113,11,59,90,45
000221,T,opal,opal_T_000221.tiff,270 267 330 326,37,22,0,36,100,15
000304,R,opal,opal_R_000304.tiff,270 270 330 330,66,69,97,234,32,38
000304,T,opal,opal_T_000304.tiff,270 267 330 326,36,25,28,344,31,14
000345,R,opal,opal_R_000345.tiff,270 270 330 330,24,42,29,137,43,16
000345,T,opal,opal_T_000345.tiff,270 267 330 326,17,25,7,87,72,10
000313,R,opal,opal_R_000313.tiff,270 270 330 330,247,251,251,180,2,98
000313,T,opal,opal_T_000313.tiff,270 267 330 326,104,97,83,40,20,41
000349,R,opal,opal_R_000349.tiff,270 270 330 330,71,74,60,73,19,29
000349,T,opal,opal_T_000349.tiff,270 267 330 326,37,27,7,40,81,15
000222,R,opal,opal_R_000222.tiff,270 270 330 330,62,73,15,71,79,29
000222,T,opal,opal_T_000222.tiff,270 267 330 326,25,15,0,36,100,10
000161,R,opal,opal_R_000161.tiff,270 270 330 330,98,153,151,178,36,60
000161,T,opal,opal_T_000161.tiff,270 267 330 326,56,90,69,143,38,35
000431,R,opal,opal_R_000431.tiff,270 270 330 330,188,125,151,335,34,74
000431,T,opal,opal_T_000431.tiff,270 267 330 326,95,22,31,353,77,37
000435,R,opal,opal_R_000435.tiff,270 270 330 330,217,143,131,8,40,85
000435,T,opal,opal_T_000435.tiff,270 267 330 326,124,45,19,15,85,49
000434,R,opal,opal_R_000434.tiff,270 270 330 330,138,117,153,275,24,60
000434,T,opal,opal_T_000434.tiff,270 267 330 326,43,15,27,334,65,17
001226,R,transparent,transparent_R_001226.tiff,270 270 330 330,56,65,12,70,82,25
001226,T,transparent,transparent_T_001226.tiff,270 267 330 326,124,128,33,63,74,50
001149,R,transparent,transparent_R_001149.tiff,270 270 330 330,16,17,13,75,24,7
001149,T,transparent,transparent_T_001149.tiff,270 267 330 326,2,2,2,0,0,1
001138,R,transparent,transparent_R_001138.tiff,270 270 330 330,129,51,6,22,95,51
001138,T,transparent,transparent_T_001138.tiff,270 267 330 326,194,108,2,33,99,76
001217,R,transparent,transparent_R_001217.tiff,270 270 330 330,83,168,69,112,59,66
001217,T,transparent,transparent_T_001217.tiff,270 267 330 326,147,208,133,109,36,82
001246,R,transparent,transparent_R_001246.tiff,270 270 330 330,7,12,31,228,77,12
001246,T,transparent,transparent_T_001246.tiff,270 267 330 326,0,43,95,213,100,37
001422,R,transparent,transparent_R_001422.tiff,270 270 330 330,113,121,3,64,98,47
001422,T,transparent,transparent_T_001422.tiff,270 267 330 326,178,168,0,57,100,70
001176,R,transparent,transparent_R_001176.tiff,270 270 330 330,1,65,77,189,99,30
001176,T,transparent,transparent_T_001176.tiff,270 267 330 326,8,134,144,184,94,56
001228,R,transparent,transparent_R_001228.tiff,270 270 330 330,21,14,23,287,39,9
001228,T,transparent,transparent_T_001228.tiff,270 267 330 326,62,39,61,303,37,24
001229,R,transparent,transparent_R_001229.tiff,270 270 330 330,39,28,35,322,28,15
001229,T,transparent,transparent_T_001229.tiff,270 267 330 326,89,83,89,300,7,35
