cat_id,mode,source_file,crop_box,R,G,B,H,S,V
001806,R,tint_R_001806.tiff,241 236 295 288,188,198,195,162,5,78
001807,R,tint_R_001807.tiff,241 236 295 288,182,210,177,111,16,82
001808,R,tint_R_001808.tiff,241 236 295 288,152,202,208,186,27,82
001814,R,tint_R_001814.tiff,241 236 295 288,141,166,221,221,36,87
001816,R,tint_R_001816.tiff,241 236 295 288,91,181,220,198,59,86
001818,R,tint_R_001818.tiff,241 236 295 288,165,175,188,214,12,74
001819,R,tint_R_001819.tiff,241 236 295 288,192,185,169,42,12,75
001820,R,tint_R_001820.tiff,241 236 295 288,221,215,186,50,16,87
001821,R,tint_R_001821.tiff,241 236 295 288,223,210,218,323,6,87
001826,R,tint_R_001826.tiff,241 236 295 288,214,210,173,54,19,84
001827,R,tint_R_001827.tiff,241 236 295 288,211,202,167,48,21,83
001829,R,tint_R_001829.tiff,241 236 295 288,188,188,187,60,1,74
001834,R,tint_R_001834.tiff,241 236 295 288,220,201,196,12,11,86
001837,R,tint_R_001837.tiff,241 236 295 288,212,199,145,48,32,83
001841,R,tint_R_001841.tiff,241 236 295 288,151,170,151,120,11,67
001842,R,tint_R_001842.tiff,241 236 295 288,179,198,221,213,19,87
001844,R,tint_R_001844.tiff,241 236 295 288,174,197,201,189,13,79
001845,R,tint_R_001845.tiff,241 236 295 288,163,204,188,157,20,80
001857,R,tint_R_001857.tiff,241 236 295 288,213,169,91,38,57,84
001858,R,tint_R_001858.tiff,241 236 295 288,189,197,168,77,15,77
001859,R,tint_R_001859.tiff,241 236 295 288,179,185,143,69,23,73
001864,R,tint_R_001864.tiff,241 236 295 288,180,186,194,214,7,76
001867,R,tint_R_001867.tiff,241 236 295 288,198,193,176,46,11,78
001877,R,tint_R_001877.tiff,241 236 295 288,178,186,161,79,13,73
001917,R,tint_R_001917.tiff,241 236 295 288,208,218,210,132,5,85
001920,R,tint_R_001920.tiff,241 236 295 288,224,222,211,51,6,88
001932,R,tint_R_001932.tiff,241 236 295 288,216,192,205,327,11,85
001934,R,tint_R_001934.tiff,241 236 295 288,216,208,201,28,7,85
001948,R,tint_R_001948.tiff,241 236 295 288,199,195,216,251,10,85
001964,R,tint_R_001964.tiff,241 236 295 288,212,209,211,320,1,83
001977,R,tint_R_001977.tiff,241 236 295 288,207,209,200,73,4,82
001806,T,tint_T_001806.tiff,263 250 321 306,137,136,127,54,7,54
001807,T,tint_T_001807.tiff,263 250 321 306,130,141,115,85,18,55
001808,T,tint_T_001808.tiff,263 250 321 306,108,131,128,172,18,51
001814,T,tint_T_001814.tiff,263 250 321 306,104,113,139,225,25,55
001816,T,tint_T_001816.tiff,263 250 321 306,71,125,141,194,50,55
001818,T,tint_T_001818.tiff,263 250 321 306,120,120,121,240,1,47
001819,T,tint_T_001819.tiff,263 250 321 306,139,128,111,36,20,55
001820,T,tint_T_001820.tiff,263 250 321 306,155,144,121,41,22,61
001821,T,tint_T_001821.tiff,263 250 321 306,151,136,133,10,12,59
001826,T,tint_T_001826.tiff,263 250 321 306,148,138,112,43,24,58
001827,T,tint_T_001827.tiff,263 250 321 306,150,137,110,40,27,59
001829,T,tint_T_001829.tiff,263 250 321 306,135,129,123,30,9,53
001834,T,tint_T_001834.tiff,263 250 321 306,153,134,125,19,18,60
001837,T,tint_T_001837.tiff,263 250 321 306,146,131,95,42,35,57
001841,T,tint_T_001841.tiff,263 250 321 306,112,118,101,81,14,46
001842,T,tint_T_001842.tiff,263 250 321 306,126,131,137,213,8,54
001844,T,tint_T_001844.tiff,263 250 321 306,122,129,126,154,5,51
001845,T,tint_T_001845.tiff,263 250 321 306,119,136,121,127,12,53
001857,T,tint_T_001857.tiff,263 250 321 306,149,115,62,37,58,58
001858,T,tint_T_001858.tiff,263 250 321 306,133,132,109,58,18,52
001859,T,tint_T_001859.tiff,263 250 321 306,125,123,92,56,26,49
001864,T,tint_T_001864.tiff,263 250 321 306,127,124,122,24,4,50
001867,T,tint_T_001867.tiff,263 250 321 306,142,131,115,36,19,56
001877,T,tint_T_001877.tiff,263 250 321 306,127,125,104,55,18,50
001917,T,tint_T_001917.tiff,263 250 321 306,144,142,131,51,9,56
001920,T,tint_T_001920.tiff,263 250 321 306,158,148,135,34,15,62
001932,T,tint_T_001932.tiff,263 250 321 306,154,132,132,0,14,60
001934,T,tint_T_001934.tiff,263 250 321 306,152,139,128,27,16,60
001948,T,tint_T_001948.tiff,263 250 321 306,141,131,137,324,7,55
001964,T,tint_T_001964.tiff,263 250 321 306,148,140,134,26,9,58
001977,T,tint_T_001977.tiff,263 250 321 306,144,139,127,42,12,56
