cat_id,color_name,is_striker,se,su,cu,pb,ag,au,thickness_mm,T_R,T_G,T_B,T_H,T_S,T_V,R_R,R_G,R_B,R_H,R_S,R_V,T_image,R_image,cold_characteristics,working_notes
001806,Juniper Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001807,Grass Green Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001808,Aqua Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001814,Sapphire Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001816,Turquoise Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001818,Indigo Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001819,Brown Topaz Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001820,Pale Yellow Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001821,Erbium Pink Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001823,Burnt Scarlet Striker Tint,1,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001824,Ruby Red Striker Tint,1,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001826,Green Tea Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001827,Light Amber Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001829,Gray Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001831,Ruby Pink Striker Tint,1,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001834,Coral Orange Tint,1,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001837,Medium Amber Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001838,Dark Amber Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001841,Spruce Green Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001842,Light Neo-Lavender Shift Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001844,Lavender Green Shift Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001845,Ming Green Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001857,Red Amber Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001858,Light Rhubarb Shift Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001859,Rhubarb Shift Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001864,Gray Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001867,Olive Smoke Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001877,Olivine Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001917,Cilantro Green Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001920,Lemon Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001932,Fuchsia Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001934,Copper Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001948,Purple Blue Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001964,Lavender Gray Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
001977,Pine Green Tint,0,0,0,0,0,0,0,2.0,,,,,,,,,,,,,,,,
